PID,GrLivArea,SalePrice,MSSubClass,maybe_MSZoning,LotFrontage,LotArea,Street_paved,Alley,maybe_LotShape,LandContour,Utilities,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,maybe_OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,maybe_MasVnrType,MasVnrArea,ExterQual,maybe_ExterCond,Foundation,maybe_BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC_nom,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,maybe_GarageQual,maybe_GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,maybe_EnclosedPorch,maybe_3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice_log,HeatingQC_ord,LotShape_com,MSZoning_com,LF_Near_NS_RR,LF_Near_Positive_Feature,LF_Adjacent_Arterial_St,LF_Near_EW_RR,LF_Adjacent_Feeder_St,LF_Near_Postive_Feature,Heating_com,Electrical_com,LotConfig_com,LotFrontage_log,LotArea_log,BsmtCond_ord,BsmtQual_ord,BsmtExposure_ord,BSMT_GLQ,maybe_BSMT_ALQ,maybe_BSMT_BLQ,maybe_BSMT_LwQ,BSMT_Rec,GarageType_con,MS_coded,number_floors,attic,PUD,sold_datetime
909176150,856,126000,30,RL,,7890,Pave,No alley access,Reg,Level,EGWS,Gentle,SWISU,1Fam,1Story,6,6,1939,1950,Gable,Standard (Composite) Shingle,None,0.0,3,3,CBlock,618.0,856.0,GasA,TA,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,1,3,4,Typ,1,4,1939.0,Unf,2.0,399.0,TA,TA,Paved,0,0,0,0,166,0,,No Fence,Nothing,0,3,2010,WD ,Normal,5.1003705451175625,3,Regular,"Residential, low-density",0,0,0,0,0,0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Corner lot,,8.97335141383992,3,3,1,0.0,0.0,0.0,0.0,238.0,Detchd,1-Story,1,No attic,0,2010-03-01
905476230,1049,139500,120,RL,42.0,4235,Pave,No alley access,Reg,Level,EGWS,Gentle,Edwards,TwnhsE,1Story,5,5,1984,1984,Gable,Standard (Composite) Shingle,Brick Face,149.0,4,3,CBlock,104.0,1049.0,GasA,TA,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,4,5,Typ,0,0,1984.0,Fin,1.0,266.0,TA,TA,Paved,0,105,0,0,0,0,,No Fence,Nothing,0,2,2009,WD ,Normal,5.144574207609616,3,Regular,"Residential, low-density",0,0,0,0,0,0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),3.7376696182833684,8.351138607086154,3,4,2,552.0,393.0,0.0,0.0,0.0,Attchd,1-Story,1,No attic,1,2009-02-01
911128020,1001,124900,30,C (all),60.0,6060,Pave,No alley access,Reg,Level,EGWS,Gentle,IDOTRR,1Fam,1Story,5,9,1930,2007,Hip,Standard (Composite) Shingle,None,0.0,4,3,BrkTil,100.0,837.0,GasA,Ex,Y,SBrkr,1001,0,0,0.0,0.0,1,0,2,1,4,5,Typ,0,0,1930.0,Unf,1.0,216.0,TA,Po,Dirt Gravel,154,0,42,86,0,0,,No Fence,Nothing,0,11,2007,WD ,Normal,5.096562438374136,5,Regular,Nonresidential,0,0,0,0,0,0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),4.0943445622221,8.70946507906336,3,3,1,0.0,737.0,0.0,0.0,0.0,Detchd,1-Story,1,No attic,0,2007-11-01
535377150,1039,114000,70,RL,80.0,8146,Pave,No alley access,Reg,Level,EGWS,Gentle,OldTown,1Fam,2Story,4,8,1900,2003,Gable,Standard (Composite) Shingle,None,0.0,4,4,BrkTil,405.0,405.0,GasA,Gd,Y,SBrkr,717,322,0,0.0,0.0,1,0,2,1,3,6,Typ,0,0,1940.0,Unf,1.0,281.0,TA,TA,Dirt Gravel,0,0,168,0,111,0,,No Fence,Nothing,0,5,2009,WD ,Normal,5.056904851336473,4,Regular,"Residential, low-density",0,0,0,0,0,0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Corner lot,4.382026634673881,9.005282288208358,3,2,1,0.0,0.0,0.0,0.0,0.0,Detchd,2-Story,2,No attic,0,2009-05-01
534177230,1665,227000,60,RL,70.0,8400,Pave,No alley access,Reg,Level,EGWS,Gentle,NWAmes,1Fam,2Story,8,6,2001,2001,Gable,Standard (Composite) Shingle,None,0.0,4,3,PConc,167.0,810.0,GasA,Ex,Y,SBrkr,810,855,0,1.0,0.0,2,1,3,1,4,6,Typ,0,0,2001.0,Fin,2.0,528.0,TA,TA,Paved,0,45,0,0,0,0,,No Fence,Nothing,0,11,2009,WD ,Normal,5.3560258571931225,5,Regular,"Residential, low-density",0,0,0,0,0,0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),4.248495242049359,9.035986984831405,3,4,1,643.0,0.0,0.0,0.0,0.0,Attchd,2-Story,2,No attic,0,2009-11-01
908128060,1922,198500,85,RL,64.0,7301,Pave,No alley access,Reg,Level,EGWS,Gentle,Edwards,1Fam,SFoyer,7,5,2003,2003,Gable,Standard (Composite) Shingle,Brick Face,500.0,4,3,Slab,0.0,0.0,GasA,Ex,Y,SBrkr,495,1427,0,0.0,0.0,3,0,4,1,4,7,Typ,1,5,2003.0,RFn,2.0,672.0,TA,TA,Paved,0,0,177,0,0,0,,No Fence,Nothing,0,7,2009,ConLD,Normal,5.297760511099134,5,Regular,"Residential, low-density",0,0,0,0,0,0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Corner lot,4.1588830833596715,8.895766604056085,0,0,0,0.0,0.0,0.0,0.0,0.0,BuiltIn,SptFoyer,2,No attic,0,2009-07-01
902135020,936,93000,20,RM,60.0,6000,Pave,Paved,Reg,Banked (rise from street level to building),EGWS,Moderate-severe,OldTown,2fmCon,1Story,4,4,1953,1953,Gable,Standard (Composite) Shingle,None,0.0,2,3,CBlock,936.0,936.0,GasA,TA,N,SBrkr,936,0,0,0.0,0.0,1,0,2,1,3,4,Min2,0,0,1974.0,Unf,2.0,576.0,TA,TA,Paved,0,32,112,0,0,0,,No Fence,Nothing,0,2,2009,WD ,Normal,4.968482948553935,3,Regular,"Residential, medium-density",0,0,0,0,0,0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),4.0943445622221,8.699514748210191,3,2,1,0.0,0.0,0.0,0.0,0.0,Detchd,1-Story,1,No attic,0,2009-02-01
528228540,1246,187687,20,RL,53.0,3710,Pave,No alley access,Reg,Level,EGWS,Gentle,Blmngtn,1Fam,1Story,7,5,2007,2008,Gable,Standard (Composite) Shingle,Brick Face,20.0,4,3,PConc,1146.0,1146.0,GasA,Ex,Y,SBrkr,1246,0,0,0.0,0.0,2,0,2,1,4,5,Typ,1,4,2007.0,Fin,2.0,428.0,TA,TA,Paved,100,24,0,0,0,0,,No Fence,Nothing,0,3,2008,New,Partial,5.273434192579859,5,Regular,"Residential, low-density",0,0,0,0,0,0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),3.970291913552122,8.21878715560148,3,4,4,0.0,0.0,0.0,0.0,0.0,Attchd,1-Story,1,No attic,0,2008-03-01
923426010,889,137500,20,RL,74.0,12395,Pave,No alley access,Reg,Level,EGWS,Gentle,Mitchel,1Fam,1Story,5,6,1984,1984,Gable,Standard (Composite) Shingle,None,0.0,3,3,CBlock,217.0,864.0,GasA,TA,Y,SBrkr,889,0,0,0.0,0.0,1,0,3,1,3,6,Typ,0,0,1984.0,Unf,2.0,484.0,TA,TA,Paved,0,0,0,0,0,0,,No Fence,Nothing,0,4,2008,WD ,Normal,5.138302698166282,3,Regular,"Residential, low-density",0,0,0,0,0,0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Corner lot,4.30406509320417,9.42504844446929,3,3,1,0.0,647.0,0.0,0.0,0.0,Attchd,1-Story,1,No attic,0,2008-04-01
908186050,1072,140000,180,RM,35.0,3675,Pave,No alley access,Reg,Level,EGWS,Gentle,Edwards,TwnhsE,SFoyer,6,5,2005,2005,Gable,Standard (Composite) Shingle,Stone,76.0,3,3,PConc,80.0,547.0,GasA,Ex,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,4,5,Typ,0,0,2005.0,Fin,2.0,525.0,TA,TA,Paved,0,44,0,0,0,0,,No Fence,Nothing,0,5,2007,WD ,Normal,5.146128035678238,5,Regular,"Residential, medium-density",0,0,0,0,0,0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),3.5553480614894135,8.209308411646937,3,4,4,467.0,0.0,0.0,0.0,0.0,Detchd,SplitMulti,2,No attic,1,2007-05-01
